job_id,customer_id,device_id,issue_type,job_status,received_date,promised_date,completed_date,technician_id,technician_name,repair_notes,estimated_cost,actual_cost
JOB00906,CUST0052,DEV003,Keyboard Fault,In Progress,2024-03-02,2024-03-07,,T001,Rajesh Kumar,Spare part ordered,6812.64,
JOB01374,CUST0109,DEV002,Software Crash,Completed,2024-01-24,2024-01-29,2024-01-30,T007,Meena Reddy,Customer follow-up pending,7558.98,8579.6
JOB00340,CUST0035,DEV034,Wi-Fi Not Connecting,Completed,2024-02-16,2024-02-21,2024-02-24,T004,Amit Patel,,839.19,700.41
JOB00125,CUST0034,DEV019,Software Crash,Completed,2024-01-16,2024-01-21,2024-01-19,T003,Priya Singh,,1836.79,2000.1
JOB00146,CUST0290,DEV008,Keyboard Fault,In Progress,2024-02-29,2024-03-05,,T008,Arjun Iyer,Customer follow-up pending,6189.94,
JOB00465,CUST0187,DEV009,Water Damage,Completed,2024-01-14,2024-01-19,2024-01-18,T004,Amit Patel,Under warranty,6565.95,2776.89
JOB00169,CUST0064,DEV004,Charging Port Fault,Completed,2024-02-21,2024-02-26,2024-02-22,T008,Arjun Iyer,,2022.56,6199.06
JOB00860,CUST0185,DEV009,Battery Issue,In Progress,2024-02-28,2024-03-04,,T004,Amit Patel,Spare part ordered,4493.63,
JOB01127,CUST0125,DEV032,Software Crash,Completed,2024-02-25,2024-03-01,2024-02-28,T005,Kavitha Nair,Customer informed,6294.87,7528.16
JOB00333,CUST0030,DEV041,Hard Disk Failure,Completed,2024-02-23,2024-02-28,2024-02-25,T005,Kavitha Nair,Customer follow-up pending,5828.1,2926.2
JOB01406,CUST0129,DEV021,Battery Issue,Completed,2024-03-04,2024-03-09,2024-03-07,T001,Rajesh Kumar,Customer follow-up pending,5898.83,6044.83
JOB00682,CUST0033,DEV029,Charging Port Fault,Completed,2024-02-05,2024-02-10,2024-02-07,T005,Kavitha Nair,Under warranty,1345.83,5618.85
JOB01260,CUST0045,DEV043,Software Crash,Pending,2024-01-24,2024-01-29,,T003,Priya Singh,,3821.24,
JOB00247,CUST0145,DEV011,Hinge Broken,Pending,2024-01-13,2024-01-18,,T001,Rajesh Kumar,,6840.12,
JOB00396,CUST0157,DEV028,Hinge Broken,Completed,2024-03-14,2024-03-19,2024-03-19,T007,Meena Reddy,Returned to customer,2185.33,900.12
JOB01221,CUST0231,DEV002,Software Crash,Completed,2024-02-21,2024-02-26,2024-02-26,T007,Meena Reddy,Customer informed,3340.74,8453.02
JOB01130,CUST0142,DEV031,Overheating,Completed,2024-01-21,2024-01-26,2024-01-23,T005,Kavitha Nair,Out of warranty,5232.72,3553.55
JOB01237,CUST0114,DEV013,Water Damage,Completed,2024-02-13,2024-02-18,2024-02-17,T002,Suresh Rao,Customer follow-up pending,820.93,6172.69
JOB00384,CUST0240,DEV039,Hard Disk Failure,Completed,2024-03-15,2024-03-20,2024-03-20,T006,Deepak Sharma,Returned to customer,5005.6,3855.45
JOB00577,CUST0146,DEV040,Hinge Broken,In Progress,2024-01-12,2024-01-17,,T002,,Spare part ordered,899.18,
JOB01059,CUST0207,DEV034,Software Crash,Completed,2024-03-18,2024-03-23,2024-03-24,T006,Deepak Sharma,Customer follow-up pending,4283.07,3757.95
JOB00491,CUST0161,DEV010,Motherboard Failure,Completed,2024-01-19,2024-01-24,2024-01-22,T003,Priya Singh,Returned to customer,5718.52,2354.64
JOB00568,CUST0043,DEV010,Battery Issue,Completed,2024-02-21,2024-02-26,2024-02-24,T005,Kavitha Nair,,4293.27,6076.35
JOB01037,CUST0299,DEV018,Water Damage,Completed,2024-01-26,2024-01-31,2024-02-01,T007,Meena Reddy,,4843.12,4365.86
JOB00636,CUST0161,DEV033,Hinge Broken,Completed,2024-02-29,2024-03-05,2024-03-04,T006,Deepak Sharma,,3479.94,3780.79
JOB00684,CUST0032,DEV017,Camera Not Working,Completed,2024-02-15,2024-02-20,2024-02-18,T001,Rajesh Kumar,Customer informed,4884.51,3245.11
JOB01086,CUST0151,DEV042,Hard Disk Failure,In Progress,2024-02-23,2024-02-28,,T007,Meena Reddy,Out of warranty,6395.21,
JOB01284,CUST0100,DEV024,Keyboard Fault,In Progress,2024-01-09,2024-01-14,,T007,Meena Reddy,Customer informed,6481.82,
JOB00723,CUST0193,DEV019,Overheating,Cancelled,2024-01-29,2024-02-03,2024-02-01,T002,,,4151.43,
JOB01117,CUST0048,DEV043,Keyboard Fault,Completed,2024-01-07,2024-01-12,2024-01-11,T005,Kavitha Nair,Spare part ordered,7602.07,5356.49
JOB00082,CUST0131,DEV024,Software Crash,Completed,2024-02-20,2024-02-25,2024-02-29,T008,Arjun Iyer,Customer informed,4237.35,8941.7
JOB00028,CUST0203,DEV026,Wi-Fi Not Connecting,Completed,2024-03-07,2024-03-12,2024-03-09,T004,Amit Patel,Spare part ordered,7369.58,5013.89
JOB00303,CUST0232,DEV021,Hard Disk Failure,In Progress,2024-01-28,2024-02-02,,T003,Priya Singh,Customer follow-up pending,2720.73,
JOB00662,CUST0072,DEV014,Water Damage,Completed,2024-01-08,2024-01-13,2024-01-17,T006,Deepak Sharma,Customer informed,2897.6,776.25
JOB00990,CUST0162,DEV031,Water Damage,Completed,2024-02-01,2024-02-06,2024-02-04,T005,Kavitha Nair,Customer informed,5030.36,7735.92
JOB01079,CUST0252,DEV026,Wi-Fi Not Connecting,Completed,2024-02-21,2024-02-26,2024-02-29,T004,Amit Patel,Out of warranty,2434.45,5553.57
JOB01203,CUST0016,DEV011,Software Crash,Completed,2024-01-01,2024-01-06,2024-01-10,T004,Amit Patel,,3587.14,3607.46
JOB01184,CUST0253,DEV026,Overheating,Completed,2024-01-06,2024-01-11,2024-01-12,T007,Meena Reddy,,6286.39,309.02
JOB00855,CUST0137,DEV009,Keyboard Fault,Completed,2024-02-17,2024-02-22,2024-02-18,T007,Meena Reddy,Customer informed,6033.9,7227.98
JOB00266,CUST0104,DEV032,Motherboard Failure,Completed,2024-03-09,2024-03-14,2024-03-13,T002,Suresh Rao,,6475.9,5677.46
JOB00988,CUST0156,DEV024,Software Crash,Completed,2024-03-21,2024-03-26,2024-03-25,T001,Rajesh Kumar,Out of warranty,4186.58,2892.63
JOB01370,CUST0081,DEV002,Battery Issue,Completed,2024-02-29,2024-03-05,2024-03-04,T007,Meena Reddy,Spare part ordered,553.41,413.73
JOB00581,CUST0059,DEV020,Power Not Turning On,Completed,2024-01-31,2024-02-05,2024-02-04,T007,Meena Reddy,Customer informed,1396.33,3463.49
JOB00665,CUST0183,DEV002,Water Damage,Completed,2024-01-07,2024-01-12,2024-01-14,T008,Arjun Iyer,,4486.45,1172.91
JOB00920,CUST0066,DEV012,Battery Issue,Completed,2024-01-31,2024-02-05,2024-02-03,T002,Suresh Rao,,4856.61,513.31
JOB00387,CUST0070,DEV036,Battery Issue,Completed,2024-02-07,2024-02-12,2024-02-09,T003,Priya Singh,Returned to customer,542.46,412.72
JOB00377,CUST0151,DEV025,Overheating,In Progress,2024-03-20,2024-03-25,,T002,Suresh Rao,Out of warranty,6943.75,
JOB01315,CUST0225,DEV001,Water Damage,In Progress,2024-01-08,2024-01-13,,T003,Priya Singh,Customer follow-up pending,4412.74,
JOB00828,CUST0024,DEV043,Overheating,Completed,2024-02-01,2024-02-06,2024-02-11,T008,Arjun Iyer,,662.67,646.61
JOB00539,CUST0212,DEV039,RAM Issue,In Progress,2024-01-18,2024-01-23,,T006,Deepak Sharma,Out of warranty,3188.84,
JOB00753,CUST0170,DEV030,Battery Issue,In Progress,2024-02-09,2024-02-14,,T004,Amit Patel,Out of warranty,6029.79,
JOB00264,CUST0217,DEV037,Water Damage,Completed,2024-02-04,2024-02-09,2024-02-08,T007,Meena Reddy,Returned to customer,3146.35,3604.16
JOB00804,CUST0231,DEV017,Wi-Fi Not Connecting,Completed,2024-03-17,2024-03-22,2024-03-20,T005,Kavitha Nair,Customer informed,1923.97,3432.03
JOB00193,CUST0004,DEV001,Charging Port Fault,Pending,2024-03-16,2024-03-21,,T002,Suresh Rao,,5609.33,
JOB00136,CUST0109,DEV006,Software Crash,Pending,2024-03-02,2024-03-07,,T001,Rajesh Kumar,Under warranty,1683.65,
JOB01121,CUST0253,DEV036,Speaker Problem,Completed,2024-02-25,2024-03-01,2024-02-28,T001,Rajesh Kumar,,2483.11,1355.46
JOB00299,CUST0064,DEV023,Battery Issue,Completed,2024-02-06,2024-02-11,2024-02-12,T004,Amit Patel,Under warranty,6049.51,7429.76
JOB01189,CUST0284,DEV001,RAM Issue,Completed,2024-01-25,2024-01-30,2024-02-02,T008,Arjun Iyer,,5945.93,4828.18
JOB01072,CUST0176,DEV040,Hard Disk Failure,Cancelled,2024-03-01,2024-03-06,2024-03-06,T006,Deepak Sharma,Customer follow-up pending,4700.94,
JOB01056,CUST0263,DEV002,Water Damage,Completed,2024-02-20,2024-02-25,2024-02-23,T001,Rajesh Kumar,Customer informed,3858.72,7641.85
JOB01475,CUST0181,DEV043,Motherboard Failure,Completed,2024-01-31,2024-02-05,2024-02-05,T004,Amit Patel,Under warranty,5191.51,6972.09
JOB00214,CUST0257,DEV034,Power Not Turning On,Completed,2024-03-01,2024-03-06,2024-03-05,T002,Suresh Rao,Customer follow-up pending,3725.43,3408.09
JOB01312,CUST0076,DEV008,Battery Issue,In Progress,2024-01-03,2024-01-08,,T008,Arjun Iyer,,4128.47,
JOB00037,CUST0295,DEV018,Software Crash,Completed,2024-03-06,2024-03-11,2024-03-10,T003,Priya Singh,Customer informed,4300.74,3895.11
JOB00046,CUST0146,DEV023,Keyboard Fault,Pending,2024-02-27,2024-03-03,,T008,Arjun Iyer,,4986.58,
JOB01447,CUST0044,DEV037,Water Damage,Completed,2024-02-16,2024-02-21,2024-02-20,T007,Meena Reddy,Customer follow-up pending,4733.47,7042.41
JOB00337,CUST0133,DEV016,Power Not Turning On,Cancelled,2024-02-24,2024-02-29,2024-02-26,T005,Kavitha Nair,Spare part ordered,5909.49,
JOB00874,CUST0129,DEV041,Water Damage,Completed,2024-02-23,2024-02-28,2024-02-27,T006,,Customer follow-up pending,7868.08,885.38
JOB00180,CUST0129,DEV029,Screen Damage,Completed,2024-01-20,2024-01-25,2024-01-29,T008,Arjun Iyer,Customer informed,7476.57,6031.76
JOB00909,CUST0148,DEV004,Water Damage,Pending,2024-01-25,2024-01-30,,T001,Rajesh Kumar,Customer follow-up pending,7158.32,
JOB00620,CUST0245,DEV020,Power Not Turning On,Completed,2024-01-22,2024-01-27,2024-01-31,T004,Amit Patel,Spare part ordered,1499.83,3089.57
JOB01364,CUST0080,DEV039,Screen Damage,Completed,2024-02-10,2024-02-15,2024-02-12,T005,Kavitha Nair,Under warranty,6732.58,1076.19
JOB00441,CUST0100,DEV028,Camera Not Working,Completed,2024-03-06,2024-03-11,2024-03-10,T006,Deepak Sharma,Customer informed,5277.07,8349.69
JOB00163,CUST0170,DEV027,Keyboard Fault,Completed,2024-02-07,2024-02-12,2024-02-11,T005,Kavitha Nair,Customer follow-up pending,5870.38,5138.8
JOB00561,CUST0206,DEV027,Power Not Turning On,Completed,2024-02-26,2024-03-02,2024-03-02,T003,Priya Singh,Returned to customer,851.23,3806.77
JOB01242,CUST0177,DEV020,Motherboard Failure,In Progress,2024-03-06,2024-03-11,,T002,Suresh Rao,Spare part ordered,7425.29,
JOB00439,CUST0177,DEV001,Screen Damage,Completed,2024-03-03,2024-03-08,2024-03-10,T006,Deepak Sharma,,7534.22,8738.86
JOB00144,CUST0291,DEV009,Battery Issue,Completed,2024-01-13,2024-01-18,2024-01-22,T008,Arjun Iyer,,3870.26,8534.92
JOB00695,CUST0059,DEV036,Hard Disk Failure,Completed,2024-01-13,2024-01-18,2024-01-19,T008,Arjun Iyer,Customer informed,6704.1,361.79
JOB00989,CUST0108,DEV022,Speaker Problem,Completed,2024-02-19,2024-02-24,2024-02-23,T008,Arjun Iyer,,7876.99,5476.04
JOB01295,CUST0073,DEV022,Hard Disk Failure,Completed,2024-02-29,2024-03-05,2024-03-03,T001,Rajesh Kumar,,531.11,4158.72
JOB00744,CUST0100,DEV001,Wi-Fi Not Connecting,Completed,2024-02-12,2024-02-17,2024-02-14,T005,Kavitha Nair,Customer informed,4932.84,446.72
JOB00965,CUST0055,DEV005,Keyboard Fault,Completed,2024-03-18,2024-03-23,2024-03-26,T008,Arjun Iyer,Out of warranty,4246.35,4523.95
JOB00339,CUST0121,DEV038,Wi-Fi Not Connecting,Completed,2024-02-14,2024-02-19,2024-02-20,T004,Amit Patel,Under warranty,5771.94,4749.05
JOB00734,CUST0081,DEV020,Hard Disk Failure,Completed,2024-01-26,2024-01-31,2024-01-30,T004,,,3777.03,988.22
JOB01041,CUST0083,DEV040,Wi-Fi Not Connecting,Completed,2024-03-11,2024-03-16,2024-03-14,T005,Kavitha Nair,Returned to customer,6146.34,1670.8
JOB00725,CUST0289,DEV007,Motherboard Failure,Completed,2024-02-12,2024-02-17,2024-02-14,T005,Kavitha Nair,,1520.19,7803.73
JOB00342,CUST0136,DEV038,Software Crash,Completed,2024-02-26,2024-03-02,2024-03-03,T007,Meena Reddy,,6625.73,1427.46
JOB01025,CUST0186,DEV015,Power Not Turning On,Completed,2024-02-22,2024-02-27,2024-02-24,T005,Kavitha Nair,,534.69,2986.32
JOB00427,CUST0256,DEV007,Hard Disk Failure,Cancelled,2024-02-02,2024-02-07,2024-02-03,T003,Priya Singh,,5487.62,
JOB00503,CUST0163,DEV012,Water Damage,Cancelled,2024-01-14,2024-01-19,2024-01-17,T005,Kavitha Nair,,1462.31,
JOB00076,CUST0240,DEV041,Screen Damage,In Progress,2024-03-12,2024-03-17,,T006,Deepak Sharma,,6611.81,
JOB01186,CUST0234,DEV005,Keyboard Fault,Cancelled,2024-01-13,2024-01-18,2024-01-20,T004,Amit Patel,Returned to customer,2975.2,
JOB01257,CUST0036,DEV034,Speaker Problem,In Progress,2024-03-10,2024-03-15,,T003,Priya Singh,Spare part ordered,5948.96,
JOB01241,CUST0287,DEV021,Screen Damage,In Progress,2024-03-03,2024-03-08,,T006,Deepak Sharma,Customer follow-up pending,6633.92,
